TRACK_ID	ARTIST_ID	isrc	PATH	isrc.1	TAGS
00049529.m4a	Anterluz	QZDA61983127	00049529.m4a	QZDA61983127	low_performing
00055849.m4a	Kaash Paige	USUG12002897	00055849.m4a	USUG12002897	low_performing
00052689.m4a	Lil Skies	USAT21901411	00052689.m4a	USAT21901411	high_performing
00039932.m4a	J Alvarez, Pusho, Benny Benni	QM4TW1933949	00039932.m4a	QM4TW1933949	low_performing
00041775.m4a	IDER	USYAH1700290	00041775.m4a	USYAH1700290	low_performing
00056163.m4a	Elcamino	TCAEG1946613	00056163.m4a	TCAEG1946613	low_performing
00062712.m4a	Juanes, Alessia Cara	USUM71908007	00062712.m4a	USUM71908007	low_performing
00039487.m4a	Tiësto, Stevie Appleton	CYA111900478	00039487.m4a	CYA111900478	high_performing
00047178.m4a	YG	USUM72011714	00047178.m4a	USUM72011714	high_performing
00043040.m4a	Forever Honey	QZ93L2006787	00043040.m4a	QZ93L2006787	low_performing
00051896.m4a	POORSTACY, iann dior	QZJ842000005	00051896.m4a	QZJ842000005	low_performing
00056496.m4a	Waterparks	QMCE32000487	00056496.m4a	QMCE32000487	low_performing
00042472.m4a	Auntie Flo	GBMEF1801078	00042472.m4a	GBMEF1801078	low_performing
00065549.m4a	Cage The Elephant	USRC11803827	00065549.m4a	USRC11803827	low_performing
00072964.m4a	Carly Pearce	USCJY1944095	00072964.m4a	USCJY1944095	low_performing
00053149.m4a	Eix, Brytiago, Rauw Alejandro, Los Fantastikos	QZHN21900074	00053149.m4a	QZHN21900074	low_performing
00039907.m4a	Charlotte Fever	QZDA41805000	00039907.m4a	QZDA41805000	low_performing
00053173.m4a	Teenage Priest	QZDA62055704	00053173.m4a	QZDA62055704	low_performing
00050840.m4a	Gianni Brezzo	DEWA72000039	00050840.m4a	DEWA72000039	low_performing
00037696.m4a	Cheer Captain	QZHN31945550	00037696.m4a	QZHN31945550	low_performing
00056321.m4a	Felix Jaehn, Calum Scott	DEUM71902623	00056321.m4a	DEUM71902623	high_performing
00040466.m4a	Elias	DEE861904364	00040466.m4a	DEE861904364	low_performing
00039086.m4a	Disturbed	USRE11800534	00039086.m4a	USRE11800534	low_performing
00044226.m4a	Haiti Babii	USUYG1307843	00044226.m4a	USUYG1307843	low_performing
00061672.m4a	Gusttavo Lima	BXBAL1900039	00061672.m4a	BXBAL1900039	low_performing
00056379.m4a	Russell Dickerson	USQX91904167	00056379.m4a	USQX91904167	low_performing
00040802.m4a	Cubby, Madge	GBAFL1900283	00040802.m4a	GBAFL1900283	low_performing
00057255.m4a	Santana the Golden Boy, Amenazzy, Noriel	TCADR1841360	00057255.m4a	TCADR1841360	low_performing
00054851.m4a	Velow	USLD91722611	00054851.m4a	USLD91722611	low_performing
00053788.m4a	Aaricia	CA7081800031	00053788.m4a	CA7081800031	low_performing
00043352.m4a	Chelsea Cutler	TCADU1868299	00043352.m4a	TCADU1868299	low_performing
00059976.m4a	Black Pumas	DEXC81900072	00059976.m4a	DEXC81900072	low_performing
00038749.m4a	Mabes	SE6A91961193	00038749.m4a	SE6A91961193	low_performing
00042858.m4a	Hardwell, Dannic, Kelli-Leigh	NLQ8D1900011	00042858.m4a	NLQ8D1900011	low_performing
00043104.m4a	DLG	QZES81946895	00043104.m4a	QZES81946895	low_performing
00070954.m4a	ATEEZ	KRD441900018	00070954.m4a	KRD441900018	high_performing
00070692.m4a	Ludmilla, Topo La Maskara, Walshy Fire	BRWMB1901535	00070692.m4a	BRWMB1901535	low_performing
00048200.m4a	Asoh Black!	QM42K1881378	00048200.m4a	QM42K1881378	low_performing
00056767.m4a	Teyana Taylor	USUM72010455	00056767.m4a	USUM72010455	low_performing
00068527.m4a	Remcord	DECY51902653	00068527.m4a	DECY51902653	low_performing
00062067.m4a	Late Verlane	AUFF01900153	00062067.m4a	AUFF01900153	low_performing
00038791.m4a	courtship	QM24S1922281	00038791.m4a	QM24S1922281	low_performing
00069070.m4a	Lina Cooper	QZHN42017844	00069070.m4a	QZHN42017844	low_performing
00043676.m4a	Don Diablo, Brando	NL1ZN1900156	00043676.m4a	NL1ZN1900156	high_performing
00043853.m4a	Bankrol Hayden	USAT21906990	00043853.m4a	USAT21906990	high_performing
00073697.m4a	guccihighwaters	USEP41953001	00073697.m4a	USEP41953001	low_performing
00043934.m4a	Hook, Zack Fox	QZFYY2087042	00043934.m4a	QZFYY2087042	low_performing
00046570.m4a	Drake	USCM51800199	00046570.m4a	USCM51800199	high_performing
00073439.m4a	XXXTENTACION	USUG11800211	00073439.m4a	USUG11800211	high_performing
00068117.m4a	Romeyo Wilson, Kim Kelly	CA3R32000082	00068117.m4a	CA3R32000082	low_performing
00048849.m4a	Dr Valentines	UKTVW1900023	00048849.m4a	UKTVW1900023	low_performing
00049803.m4a	boys be kko	NLC7F1900048	00049803.m4a	NLC7F1900048	low_performing
00049822.m4a	Hypanda, IA	DEA811900500	00049822.m4a	DEA811900500	low_performing
00070394.m4a	Ayoni	SE2XW2000801	00070394.m4a	SE2XW2000801	low_performing
00061082.m4a	Master Peace	GBUM72004833	00061082.m4a	GBUM72004833	low_performing
00064372.m4a	DJ Lilocox	DEX261800108	00064372.m4a	DEX261800108	low_performing
00070922.m4a	Yaeji	GBBKS2000036	00070922.m4a	GBBKS2000036	low_performing
00048621.m4a	Majeed	US83Z1924938	00048621.m4a	US83Z1924938	low_performing
00070750.m4a	Mark Mejia	TCAEI1933923	00070750.m4a	TCAEI1933923	low_performing
00044840.m4a	Marrakesh	AUCN31900119	00044840.m4a	AUCN31900119	low_performing
00043561.m4a	Justin Kauflin	QZAX71700013	00043561.m4a	QZAX71700013	low_performing
00039686.m4a	Max Frost	USAT21907380	00039686.m4a	USAT21907380	low_performing
00054316.m4a	Ceres	BXE851900042	00054316.m4a	BXE851900042	low_performing
00059809.m4a	The Him	NLZ541801092	00059809.m4a	NLZ541801092	low_performing
00037944.m4a	MAX, Felly	USQX91901487	00037944.m4a	USQX91901487	low_performing
00071915.m4a	Jutes	USUM72003365	00071915.m4a	USUM72003365	low_performing
00053339.m4a	Still Woozy, Omar Apollo, Elujay	SE5VF1903328	00053339.m4a	SE5VF1903328	low_performing
00057514.m4a	Wisin, Myke Towers, Los Legendarios	QMBZ92014731	00057514.m4a	QMBZ92014731	high_performing
00048475.m4a	G-Eazy	USRC12001838	00048475.m4a	USRC12001838	low_performing
00067843.m4a	MONEYPHONE	QM24S1922997	00067843.m4a	QM24S1922997	low_performing
00058805.m4a	Twenty One Pilots	USAT21810689	00058805.m4a	USAT21810689	low_performing
00049332.m4a	Jonas Hibiki	NOCKI1808010	00049332.m4a	NOCKI1808010	low_performing
00042017.m4a	Caamp	USQE91500937	00042017.m4a	USQE91500937	low_performing
00069456.m4a	Trippie Redd	QMEU31814794	00069456.m4a	QMEU31814794	low_performing
00067685.m4a	Wifisfuneral	USLD91728377	00067685.m4a	USLD91728377	low_performing
00039878.m4a	Tove Lo, ALMA	SEUM71900588	00039878.m4a	SEUM71900588	high_performing
00071505.m4a	Ama Lou	USUM71922437	00071505.m4a	USUM71922437	low_performing
00071461.m4a	Shanahan, Arielle	GBKQU1806900	00071461.m4a	GBKQU1806900	low_performing
00069346.m4a	Biffy Clyro	GBAHT1901286	00069346.m4a	GBAHT1901286	low_performing
00038314.m4a	TäBï Yösha	CA3R31900070	00038314.m4a	CA3R31900070	low_performing
00068868.m4a	Dresage, G	QM24S1911110	00068868.m4a	QM24S1911110	low_performing
00053787.m4a	Kansas Smitty's	DEG932000453	00053787.m4a	DEG932000453	low_performing
00069601.m4a	EARTHGANG	USUM71917935	00069601.m4a	USUM71917935	high_performing
00053175.m4a	Twin Theory, Tamzene	FRU701900255	00053175.m4a	FRU701900255	low_performing
00038021.m4a	EDX	CH3131901434	00038021.m4a	CH3131901434	high_performing
00039194.m4a	Justin Bieber	USUM72001314	00039194.m4a	USUM72001314	low_performing
00047297.m4a	YK Osiris	USUM71915701	00047297.m4a	USUM71915701	low_performing
00049730.m4a	TWIN XL	US43C1609177	00049730.m4a	US43C1609177	low_performing
00038176.m4a	Mustafa	UK7MC2000103	00038176.m4a	UK7MC2000103	high_performing
00040623.m4a	Estelle	USVPR1800186	00040623.m4a	USVPR1800186	low_performing
00053912.m4a	Joyner Lucas, Chris Brown	TCAEB1960294	00053912.m4a	TCAEB1960294	low_performing
00044131.m4a	Drippin So Pretty	QM4DW1849901	00044131.m4a	QM4DW1849901	low_performing
00068108.m4a	SSIO	DETM41610552	00068108.m4a	DETM41610552	high_performing
00046603.m4a	Morat	ES5701901556	00046603.m4a	ES5701901556	low_performing
00048546.m4a	NAV	USUM71803422	00048546.m4a	USUM71803422	high_performing
00068674.m4a	Don Diablo	NLRD51959665	00068674.m4a	NLRD51959665	low_performing
00051079.m4a	JAXSON GAMBLE	USA2P2026327	00051079.m4a	USA2P2026327	low_performing
00043609.m4a	Late Bloomers,	QZB4J1820045	00043609.m4a	QZB4J1820045	low_performing
00064383.m4a	REASON	TCAEM1992653	00064383.m4a	TCAEM1992653	low_performing
00057466.m4a	Kenny Mason	USRC12000523	00057466.m4a	USRC12000523	low_performing
00044191.m4a	Clams Casino	GBKPL1971957	00044191.m4a	GBKPL1971957	low_performing
00066231.m4a	Arlo Parks	GBLVL1900073	00066231.m4a	GBLVL1900073	low_performing
00062147.m4a	The Techno Hall of Fame, swim good now	QZFZ31973362	00062147.m4a	QZFZ31973362	low_performing
00056081.m4a	Hella Sketchy	QZB4J1858108	00056081.m4a	QZB4J1858108	low_performing
00040950.m4a	Jaden	QMJMT1902191	00040950.m4a	QMJMT1902191	low_performing
00074360.m4a	FORM	FR0Z41900350	00074360.m4a	FR0Z41900350	low_performing
00068491.m4a	david hugo	USLD91725992	00068491.m4a	USLD91725992	low_performing
00073615.m4a	renforshort	USUG12002003	00073615.m4a	USUG12002003	low_performing
00045567.m4a	Mike Perry, Willemijn May	SE3AA1800011	00045567.m4a	SE3AA1800011	low_performing
00054232.m4a	Brennan	QZDA62054474	00054232.m4a	QZDA62054474	low_performing
00063867.m4a	Jorja Smith	GBUM71906390	00063867.m4a	GBUM71906390	high_performing
00040711.m4a	Kevin Gates	USAT21902781	00040711.m4a	USAT21902781	low_performing
00074283.m4a	Hadji Gaviota, Ivy Sole	QM24S1922896	00074283.m4a	QM24S1922896	low_performing
00070620.m4a	Adred, Commix	GBBHF1310500	00070620.m4a	GBBHF1310500	low_performing
00052487.m4a	Jay Critch	USUM71908299	00052487.m4a	USUM71908299	low_performing
00054947.m4a	Anna of the North	QMCE31902191	00054947.m4a	QMCE31902191	low_performing
00069050.m4a	Outpost Records	SE5BU1821630	00069050.m4a	SE5BU1821630	low_performing
00066614.m4a	Mija, JR Slayer	QM24S1909185	00066614.m4a	QM24S1909185	low_performing
00053957.m4a	Ponytails	TCAEE1947217	00053957.m4a	TCAEE1947217	low_performing
00048838.m4a	6ix9ine	QZA742002191	00048838.m4a	QZA742002191	high_performing
00070923.m4a	Bastille, Graham Coxon	GBUM72003738	00070923.m4a	GBUM72003738	high_performing
00069233.m4a	THEY	USUM71914539	00069233.m4a	USUM71914539	low_performing
00073297.m4a	SHERRYL	TCAEO1907849	00073297.m4a	TCAEO1907849	low_performing
00065965.m4a	Savannah Ré	CAUM72000217	00065965.m4a	CAUM72000217	low_performing
00058601.m4a	LOONY	GBKPL2089117	00058601.m4a	GBKPL2089117	low_performing
00066738.m4a	Demi Lovato	USUM72019414	00066738.m4a	USUM72019414	high_performing
00039645.m4a	Joe Avio	QM24S1837424	00039645.m4a	QM24S1837424	low_performing
00073986.m4a	guccihighwaters	USEP42008004	00073986.m4a	USEP42008004	low_performing
00047573.m4a	Hiro Kone	QMEU31915284	00047573.m4a	QMEU31915284	low_performing
00066603.m4a	Ryan Montana	QZES51927144	00066603.m4a	QZES51927144	low_performing
00062634.m4a	Cavetown	USWB11903460	00062634.m4a	USWB11903460	low_performing
00043774.m4a	Rosenfeld	QZ5FN1866563	00043774.m4a	QZ5FN1866563	low_performing
00068138.m4a	Quavius	USYBL1900459	00068138.m4a	USYBL1900459	low_performing
00070106.m4a	Lil Wookie, Guap Tarantino	QM24S2000814	00070106.m4a	QM24S2000814	low_performing
00043245.m4a	Natalie Madigan	QZHN41933811	00043245.m4a	QZHN41933811	low_performing
00043148.m4a	NÜ	NZAM01902646	00043148.m4a	NZAM01902646	low_performing
00054599.m4a	Alex Sensation, Nicky Jam	USUM71812136	00054599.m4a	USUM71812136	low_performing
00042842.m4a	Blood Orange	GBCEL1800202	00042842.m4a	GBCEL1800202	high_performing
00065735.m4a	Juice WRLD, The Weeknd	USUG12002597	00065735.m4a	USUG12002597	high_performing
00060736.m4a	Ay Wing, Chuuwee, Shuko	DEQ021906015	00060736.m4a	DEQ021906015	low_performing
00063574.m4a	SODAPOP	SE6HN2094220	00063574.m4a	SE6HN2094220	low_performing
00064956.m4a	Just Mustard	QZHN41974986	00064956.m4a	QZHN41974986	low_performing
00037775.m4a	Aaron Diehl	USMAR1915309	00037775.m4a	USMAR1915309	low_performing
00062651.m4a	Alaska Reid	TCAEE1940040	00062651.m4a	TCAEE1940040	low_performing
00046466.m4a	Farruko, Sharo Towers, Andy Clay, Alex A	QZL432000005	00046466.m4a	QZL432000005	low_performing
00037817.m4a	PnB Rock	USAT21804279	00037817.m4a	USAT21804279	low_performing
00040578.m4a	Troye Sivan	AUUM71800657	00040578.m4a	AUUM71800657	low_performing
00069143.m4a	Slushii, Miku Hatsune	TCADP1886639	00069143.m4a	TCADP1886639	low_performing
00057993.m4a	Nick Voelker	QZES91968364	00057993.m4a	QZES91968364	low_performing
00055923.m4a	Oneohtrix Point Never	GBBPW2000188	00055923.m4a	GBBPW2000188	high_performing
00057791.m4a	Dave East, Jozzy	USUM72014113	00057791.m4a	USUM72014113	low_performing
00048904.m4a	Dotcom, Lil Toe	CA5KR1929616	00048904.m4a	CA5KR1929616	low_performing
00037061.m4a	EXO-SC, MOON	KRA302000363	00037061.m4a	KRA302000363	low_performing
00051417.m4a	Daydream	QZFYX1976356	00051417.m4a	QZFYX1976356	low_performing
00057736.m4a	Allen Stone	USATO1900304	00057736.m4a	USATO1900304	low_performing
00051926.m4a	The Regrettes	USWB11901117	00051926.m4a	USWB11901117	low_performing
00068452.m4a	Twenty One Pilots	USAT21810690	00068452.m4a	USAT21810690	low_performing
00061776.m4a	Myke Bogan, Khary	USDY41874558	00061776.m4a	USDY41874558	low_performing
00059834.m4a	Filmore	USCRB2000101	00059834.m4a	USCRB2000101	low_performing
00042084.m4a	Melvoni	USSM12005220	00042084.m4a	USSM12005220	low_performing
00069858.m4a	Social House	USUG11901392	00069858.m4a	USUG11901392	low_performing
00059991.m4a	Marshmello, Demi Lovato	USUG12002422	00059991.m4a	USUG12002422	high_performing
00039494.m4a	Rick Owens Samurai, Miquo	QZJG51924969	00039494.m4a	QZJG51924969	low_performing
00050755.m4a	Shatter Hands	QMEZE1830248	00050755.m4a	QMEZE1830248	low_performing
00053590.m4a	Nicky Jam, Steve Aoki	USSD11800346	00053590.m4a	USSD11800346	high_performing
00065693.m4a	Charlotte Lawrence	USAT22002370	00065693.m4a	USAT22002370	low_performing
00042122.m4a	BIA	USSM12001551	00042122.m4a	USSM12001551	low_performing
00050684.m4a	Cub Sport	FRX201943100	00050684.m4a	FRX201943100	low_performing
00074495.m4a	april fiction	QZFYX2085828	00074495.m4a	QZFYX2085828	low_performing
00043894.m4a	Tyler Childers	USRC11901117	00043894.m4a	USRC11901117	low_performing
00053530.m4a	MOMOLAND	KRA381900790	00053530.m4a	KRA381900790	low_performing
00061964.m4a	Teenager Forever	UKDUS1900005	00061964.m4a	UKDUS1900005	low_performing
00038345.m4a	Smuve, Slim 400	USUYG1238503	00038345.m4a	USUYG1238503	low_performing
00060587.m4a	Bright Eyes	USJ5G2021005	00060587.m4a	USJ5G2021005	low_performing
00041799.m4a	Marlhy	USA2P1942494	00041799.m4a	USA2P1942494	low_performing
00044263.m4a	Niko Moon	USRN11900077	00044263.m4a	USRN11900077	low_performing
00045588.m4a	Thelma Houston	USMO17600547	00045588.m4a	USMO17600547	high_performing
00041120.m4a	The Used, Jason Aalon Butler	USA2P1959900	00041120.m4a	USA2P1959900	low_performing
00040681.m4a	Toxe	DEX261800294	00040681.m4a	DEX261800294	low_performing
00064788.m4a	Maiah Manser	US92U1900026	00064788.m4a	US92U1900026	low_performing
00071180.m4a	FRENSHIP, Yoke Lore	GBCFB1800321	00071180.m4a	GBCFB1800321	low_performing
00039162.m4a	Anuel AA, Bad Bunny	QM6N22028167	00039162.m4a	QM6N22028167	high_performing
00038733.m4a	Ø	FISRG1900012	00038733.m4a	FISRG1900012	low_performing
00059354.m4a	Calum Scott	USUM71815971	00059354.m4a	USUM71815971	low_performing
00051266.m4a	Tenille Townes	USG4X1900030	00051266.m4a	USG4X1900030	low_performing
00050659.m4a	Abigail Barlow	QZHNC2008090	00050659.m4a	QZHNC2008090	low_performing
00046698.m4a	Tom The Mail Man	TCAFA2038354	00046698.m4a	TCAFA2038354	low_performing
00073409.m4a	renforshort	USUG12000782	00073409.m4a	USUG12000782	low_performing
00062865.m4a	Ravenna Golden	QZFYX2030013	00062865.m4a	QZFYX2030013	low_performing
00052609.m4a	Mokita	NLF711905209	00052609.m4a	NLF711905209	low_performing
00047350.m4a	Gaidaa	QM4TX2042879	00047350.m4a	QM4TX2042879	low_performing
00063568.m4a	Angus Gunn	SEYOK1846320	00063568.m4a	SEYOK1846320	low_performing
00063004.m4a	Sandro Silva, Graham Bell	NLF712002115	00063004.m4a	NLF712002115	low_performing
00038825.m4a	Huron John	QZ93L2005414	00038825.m4a	QZ93L2005414	low_performing
00061279.m4a	Zac Pajak	UKW3Z2000181	00061279.m4a	UKW3Z2000181	low_performing
00049571.m4a	Smith & Thell	SEVJH2000101	00049571.m4a	SEVJH2000101	low_performing
00062672.m4a	Natti Natasha	USB272000107	00062672.m4a	USB272000107	high_performing
00061141.m4a	Natti Natasha	USB271900100	00061141.m4a	USB271900100	low_performing
00038067.m4a	Sam Gendel	USNO11900402	00038067.m4a	USNO11900402	low_performing
00053542.m4a	Takagi & Ketra, OMI, Giusy Ferreri	ITB001900269	00053542.m4a	ITB001900269	low_performing
00045306.m4a	FUMU	GBQLP1800707	00045306.m4a	GBQLP1800707	low_performing
00045956.m4a	Slushii	CA6D21900120	00045956.m4a	CA6D21900120	low_performing
00070040.m4a	Camilo, Shakira, Pedro Capó	USSD11900360	00070040.m4a	USSD11900360	high_performing
00050637.m4a	Summer Salt	USEP41837001	00050637.m4a	USEP41837001	low_performing
00047282.m4a	Joel Adams	QM24S1834511	00047282.m4a	QM24S1834511	low_performing
00040183.m4a	DEEPFAKE	TCAFC2053901	00040183.m4a	TCAFC2053901	low_performing
00051903.m4a	Cyn	QZ93V1900025	00051903.m4a	QZ93V1900025	low_performing
00037704.m4a	JP Saxe	USQX92003202	00037704.m4a	USQX92003202	high_performing
00048706.m4a	Ozuna	USXDR1900721	00048706.m4a	USXDR1900721	low_performing
00065908.m4a	Clairo	US4HB1900086	00065908.m4a	US4HB1900086	high_performing
00058902.m4a	Sophia Essel	GBLV62016727	00058902.m4a	GBLV62016727	low_performing
00057982.m4a	Zack Martino, Dyson, Kastra	NLF711908540	00057982.m4a	NLF711908540	low_performing
00052773.m4a	MILCK	USAT22000168	00052773.m4a	USAT22000168	low_performing
00065753.m4a	Maciej Obara Quartet	DEB331966203	00065753.m4a	DEB331966203	low_performing
00046789.m4a	Marc Anthony, Will Smith, Bad Bunny	USSD11800332	00046789.m4a	USSD11800332	high_performing
00053578.m4a	Drake	USCM51800227	00053578.m4a	USCM51800227	high_performing
00046461.m4a	Valgur	US7VG1960744	00046461.m4a	US7VG1960744	low_performing
00070058.m4a	King Sis	SE5Q51903396	00070058.m4a	SE5Q51903396	low_performing
00039438.m4a	Devon	GBUM71906686	00039438.m4a	GBUM71906686	low_performing
00074059.m4a	21 Savage	QZ45A1700132	00074059.m4a	QZ45A1700132	high_performing
00071196.m4a	Pop Smoke, Lil Tjay	USUM71919421	00071196.m4a	USUM71919421	low_performing
00044187.m4a	Grupo Jejeje	USYBL1900652	00044187.m4a	USYBL1900652	low_performing
00044653.m4a	Moomin	GB2SA1200198	00044653.m4a	GB2SA1200198	low_performing
00047632.m4a	BEAUZ	NLZ541901673	00047632.m4a	NLZ541901673	low_performing
00047964.m4a	Sueco the Child	USAT21903315	00047964.m4a	USAT21903315	low_performing
00041228.m4a	Mythologen	SE34R1907103	00041228.m4a	SE34R1907103	low_performing
00072344.m4a	UPSAHL	USQX91901611	00072344.m4a	USQX91901611	low_performing
00047378.m4a	Leedepee, Kleo	QZFYZ2093635	00047378.m4a	QZFYZ2093635	low_performing
00041624.m4a	Monsta X	USSM11904711	00041624.m4a	USSM11904711	low_performing
00041117.m4a	Kim Petras	GBKPL1949161	00041117.m4a	GBKPL1949161	low_performing
00066896.m4a	Goodie Bag	QZDA81995866	00066896.m4a	QZDA81995866	low_performing
00054080.m4a	Surfaces	QMEU31911881	00054080.m4a	QMEU31911881	low_performing
00040050.m4a	Lucas	GBHLW1800944	00040050.m4a	GBHLW1800944	low_performing
00039106.m4a	The Dawdler	UK4MC1800050	00039106.m4a	UK4MC1800050	low_performing
00066645.m4a	CHUNG HA	KRMIM2009501	00066645.m4a	KRMIM2009501	high_performing
00043569.m4a	BLOXX	GBKPL2084060	00043569.m4a	GBKPL2084060	low_performing
00045117.m4a	Griff	GBAHT1900695	00045117.m4a	GBAHT1900695	low_performing
00044240.m4a	Graham Costello's Strata	GBYG52001002	00044240.m4a	GBYG52001002	low_performing
00072799.m4a	Jaymison	USHM81855983	00072799.m4a	USHM81855983	low_performing
00065593.m4a	Jake Hays	QZFYY1983745	00065593.m4a	QZFYY1983745	low_performing
00039238.m4a	The Django Festival AllStars	USA2P1816560	00039238.m4a	USA2P1816560	low_performing
00045476.m4a	AJ Tracey	UKQNW1800014	00045476.m4a	UKQNW1800014	low_performing
00067208.m4a	Easy Life	GBUM71900716	00067208.m4a	GBUM71900716	low_performing
00058099.m4a	Twenty One Pilots	USAT21810685	00058099.m4a	USAT21810685	high_performing
00057678.m4a	Blomst	NOOR81815010	00057678.m4a	NOOR81815010	low_performing
00058698.m4a	Aurora Halal	USYBL1901647	00058698.m4a	USYBL1901647	low_performing
00059292.m4a	Young Nudy	USRC11903808	00059292.m4a	USRC11903808	low_performing
00040588.m4a	Godford	FRD9M2000210	00040588.m4a	FRD9M2000210	low_performing
00064744.m4a	Ulterior Motive, Future Cut	UKGHE1800009	00064744.m4a	UKGHE1800009	low_performing
00066666.m4a	Alt Bloom	USHR11939305	00066666.m4a	USHR11939305	low_performing
00039204.m4a	The Strokes	USRC11902731	00039204.m4a	USRC11902731	high_performing
00067940.m4a	BEACH BLUE	NZAM01902338	00067940.m4a	NZAM01902338	low_performing
00071290.m4a	Slushii	CA6D21900295	00071290.m4a	CA6D21900295	low_performing
00065543.m4a	Dounia	QZHN82029255	00065543.m4a	QZHN82029255	low_performing
00054682.m4a	Mac Miller	USWB11801217	00054682.m4a	USWB11801217	high_performing
00065475.m4a	Toosii	USUM72017836	00065475.m4a	USUM72017836	low_performing
00050329.m4a	Marshmello, Bastille	USUG11801651	00050329.m4a	USUG11801651	high_performing
00043174.m4a	ALLBLACK, Rexx Life Raj, Guapdad 4000	USUYG1315166	00043174.m4a	USUYG1315166	low_performing
00050000.m4a	Ludivine Issambourg	FR4EO2000004	00050000.m4a	FR4EO2000004	low_performing
00043470.m4a	Fell Runner	US3DF1943580	00043470.m4a	US3DF1943580	low_performing
00070091.m4a	Sophie Gray	USL4R1905978	00070091.m4a	USL4R1905978	low_performing
00067034.m4a	Mother Sun	QZK6N1938173	00067034.m4a	QZK6N1938173	low_performing
00054565.m4a	Lola Indigo	ES5701901325	00054565.m4a	ES5701901325	low_performing
00059061.m4a	Julian Jordan	NLM5S1900702	00059061.m4a	NLM5S1900702	low_performing
00047625.m4a	ILLENIUM, Excision, I Prevail	USUG12000942	00047625.m4a	USUG12000942	high_performing
00041431.m4a	Divine Lightbody	QZES62051513	00041431.m4a	QZES62051513	low_performing
00037118.m4a	SuperM	KRA302000329	00037118.m4a	KRA302000329	high_performing
00041725.m4a	Bel Cobain	QZFZ22012199	00041725.m4a	QZFZ22012199	low_performing
00059544.m4a	True Blue	SE6HN1978983	00059544.m4a	SE6HN1978983	low_performing
00041179.m4a	Beat Of The Week, Uncle Jake, Sarafin, Yung Papi Bonito, Chapter	TCAEF1916326	00041179.m4a	TCAEF1916326	low_performing
00059686.m4a	Maria Usbeck	USA2B1901562	00059686.m4a	USA2B1901562	low_performing
00038486.m4a	Namdose, BRNS, Ropoporose	FRP621801000	00038486.m4a	FRP621801000	low_performing
00061947.m4a	Steve Lacy	GBWWP1904864	00061947.m4a	GBWWP1904864	low_performing
00069275.m4a	Lucian, Joyia	TCAEE1931850	00069275.m4a	TCAEE1931850	low_performing
00072143.m4a	Elderbrook	GBAYE2000798	00072143.m4a	GBAYE2000798	high_performing
00053343.m4a	Just A Gent, McCall	CA6D21900401	00053343.m4a	CA6D21900401	low_performing
00040815.m4a	Sven Tasnadi	USCEI1220501	00040815.m4a	USCEI1220501	low_performing
00040470.m4a	Capital Bra, Samra	DECE71900622	00040470.m4a	DECE71900622	low_performing
00039159.m4a	Halsey	USUM71918739	00039159.m4a	USUM71918739	low_performing
