id,song,artist,title_key,artist_key,isrc,playlist_cummulative,highlow
00066311.m4a,Souvenirs,"Fox Shadows, Toby Gruenzweil",souvenirs,foxshadows,ATT801822001,7,0
00041449.m4a,Boulevard,5K HD,boulevard,5khd,ATT801911003,2,0
00042744.m4a,Chameleon,Michela,chameleon,michela,ATUM71900106,260,0
00054098.m4a,Keep My Fire Burning,Waldeck,keepmyfireburning,waldeck,ATW631803403,9,0
00053035.m4a,In The Dark,Summer Flake,inthedark,summerflake,AU4T31800412,11,0
00050880.m4a,Here We Go Again,Sahara Beck,herewegoagain,saharabeck,AU5Q11800022,9,0
00068366.m4a,The Flood,GALLVS,theflood,gallvs,AU5Q11900004,4,0
00045626.m4a,Don't Overthink It,Sahara Beck,dontoverthinkit,saharabeck,AU5Q11900005,14,0
00062698.m4a,Queen of Hearts,Sahara Beck,queenofhearts,saharabeck,AU5Q11900006,17,0
00054886.m4a,Lay Low,Nick De La Hoyde,laylow,nickdelahoyde,AU7E42000104,48,0
00058278.m4a,Mulatu,"Mulatu Astatke, Black Jesus Experience",mulatu,mulatuastatke,AUA731800028,10,0
00057139.m4a,Mascaram Setaba,"Mulatu Astatke, Black Jesus Experience",mascaramsetaba,mulatuastatke,AUA731800035,27,0
00050944.m4a,Hey! I Don't Want That Anyway,AKA Lui,heyidontwantthatanyway,akalui,AUAHY1900111,35,0
00065317.m4a,Sick of Loving You,BOI,sickoflovingyou,boi,AUALA1900037,50,0
00059491.m4a,No Sofas,"Figuero Jones, Black Napoleon",nosofas,figuerojones,AUBEC1500399,5,0
00071553.m4a,Weigh You Down,Keelan Mak,weighyoudown,keelanmak,AUBEC1814632,20,0
00065464.m4a,Sink,Jamie Lane,sink,jamielane,AUBEC1815645,18,0
00071705.m4a,What It Means,Lfalfa,whatitmeans,lfalfa,AUBEC1816165,1,0
00044060.m4a,Crowded,Telescreen,crowded,telescreen,AUBEC1819301,4,0
00053391.m4a,Isle Of Pines,GOSH,isleofpines,gosh,AUBEC1819942,9,0
00064684.m4a,Scissors,KÖDA,scissors,koda,AUBEC1820155,1,0
00044703.m4a,Dead or Alive,Grace Turner,deadoralive,graceturner,AUBEC1820591,16,0
00038861.m4a,Anima,Squaring Circles,anima,squaringcircles,AUBEC1820988,24,0
00070577.m4a,VCR,Concrete Surfers,vcr,concretesurfers,AUBEC1821874,4,0
00050213.m4a,Half Empty Girl,Eliza & The Delusionals,halfemptygirl,elizathedelusionals,AUBEC1823228,14,0
00068545.m4a,The Missing Piece,Elme,themissingpiece,elme,AUBEC1825529,3,0
00049847.m4a,Graduation Song,Opus Weekend,graduationsong,opusweekend,AUBEC1826577,2,0
00039127.m4a,Artificial Thrills,vogue bazaar,artificialthrills,voguebazaar,AUBEC1826692,6,0
00070659.m4a,Velvet Sheets,Nic Clay,velvetsheets,nicclay,AUBEC1827540,2,0
00043452.m4a,Come Back,Caravãna Sun,comeback,caravanasun,AUBEC1827898,11,0
00068309.m4a,The Darkest Time,Charlie Lane,thedarkesttime,charlielane,AUBEC1828498,10,0
00052465.m4a,I'll Die One Day,Sissysocks,illdieoneday,sissysocks,AUBEC1835564,1,0
00047586.m4a,Feel Alone,Grand Pine,feelalone,grandpine,AUBEC1837295,2,0
00064209.m4a,START AGAIN,Treehouses,startagain,treehouses,AUBEC1845002,3,0
00042565.m4a,Carry You Around,Laura Imbruglia,carryyouaround,lauraimbruglia,AUBEC1846427,5,0
00050667.m4a,Heartbreaker,Vast Hill,heartbreaker,vasthill,AUBEC1846596,9,0
00039017.m4a,Apollo,Gus Dingwall,apollo,gusdingwall,AUBEC1846748,3,0
00049140.m4a,Ghost,RAT!hammock,ghost,rathammock,AUBEC1900086,13,0
00049196.m4a,Gin and Tonic,Dover Island,ginandtonic,doverisland,AUBEC1900178,2,0
00072962.m4a,You Keep Running,ROMII,youkeeprunning,romii,AUBEC1901928,4,0
00069415.m4a,To You From Me,"Julia Lostrom, Simba Andrews",toyoufromme,julialostrom,AUBEC1904204,10,0
00073306.m4a,applause,boler mani,applause,bolermani,AUBEC1904932,4,0
00067709.m4a,Take My Hours,Sunset City,takemyhours,sunsetcity,AUBEC1908090,17,0
00060055.m4a,Oblivion,Vast Hill,oblivion,vasthill,AUBEC1908596,10,0
00072546.m4a,Work It Out,"Charbel, Maribelle",workitout,charbel,AUBEC1909305,4,0
00059092.m4a,Nice Like Rice,Hallie,nicelikerice,hallie,AUBEC1910116,9,0
00061855.m4a,Pink,HyperFlora,pink,hyperflora,AUBEC1910356,3,0
00055220.m4a,Let's Be,Nic Clay,letsbe,nicclay,AUBEC1910725,2,0
00057891.m4a,Monday Morning,Diamond Vargas,mondaymorning,diamondvargas,AUBEC1911421,14,0
00072432.m4a,Wizard,Batz,wizard,batz,AUBEC1913182,6,0
00059854.m4a,Novak,sad face,novak,sadface,AUBEC1913808,10,0
00061766.m4a,Pick Me Up,Gub,pickmeup,gub,AUBEC1913939,8,0
00069533.m4a,Too Far,Dear Thieves,toofar,dearthieves,AUBEC1914049,3,0
00057356.m4a,Mekanın Sahibi,Norm Ender,mekaninsahibi,normender,AUBEC1914310,55,0
00061793.m4a,Pictures,ECÂF,pictures,ecaf,AUBEC1914770,4,0
00048340.m4a,Forget,"JAYDEAN, KHIAKIARRA",forget,jaydean,AUBEC1914921,6,0
00072394.m4a,With You,Neko Pink,withyou,nekopink,AUBEC1919758,14,0
00064817.m4a,Sekina,Mike Akox,sekina,mikeakox,AUBEC1922350,10,0
00045405.m4a,Do Ya Feel It?,RISSA,doyafeelit,rissa,AUBEC1924552,6,0
00073472.m4a,cost,boler mani,cost,bolermani,AUBEC1932249,8,0
00051200.m4a,Hold My Hand,Laneous,holdmyhand,laneous,AUBEC1990010,7,0
00070025.m4a,Turned Loose,Horror My Friend,turnedloose,horrormyfriend,AUBEC1990048,15,0
00061859.m4a,Pinky Finger,Kilns,pinkyfinger,kilns,AUBEC1990049,6,0
00062863.m4a,Rabbit Hole,Jess Day,rabbithole,jessday,AUBEC1990200,18,0
00072040.m4a,White Roses,"Coast & Ocean, Alice Hills",whiteroses,coastocean,AUBEC1990201,14,0
00058531.m4a,My Wayz,Cult Shφtta,mywayz,cultshφtta,AUBEC1990202,12,0
00054376.m4a,Know Me,"Tanboymiguel, Cult Shφtta",knowme,tanboymiguel,AUBEC1990204,7,0
00055984.m4a,Look at You Go,June Jones,lookatyougo,junejones,AUBEC1990260,6,0
00054992.m4a,Leave,Ultracrush,leave,ultracrush,AUBEC2000158,18,0
00073567.m4a,exit,boler mani,exit,bolermani,AUBEC2002876,13,0
00068933.m4a,Thin Air,Brayden Sibbald,thinair,braydensibbald,AUBEC2003610,11,0
00071846.m4a,When I'm Around You,Genes,whenimaroundyou,genes,AUBEC2003723,21,0
00054082.m4a,Keep It In,BoysnLove,keepitin,boysnlove,AUBEC2016489,7,0
00038460.m4a,All Out,"Brandon Stone, Carlito Hendrix",allout,brandonstone,AUBEC2016495,14,0
00042181.m4a,Calendar,Jimmy Harwood,calendar,jimmyharwood,AUBEC2017543,10,0
00060881.m4a,Out of Time,Columbus,outoftime,columbus,AUBEC2017621,9,0
00065130.m4a,Sheena Is A Bush Doofer,Harris,sheenaisabushdoofer,harris,AUBEC2017640,13,0
00040603.m4a,Better Things,Kee'ahn,betterthings,keeahn,AUBEC2020243,26,0
00058399.m4a,My Friends,The Dead Love,myfriends,thedeadlove,AUBEC2021598,15,0
00049916.m4a,Green Hunnids,Clariyah Bo$$,greenhunnids,clariyahbo,AUBEC2021849,15,0
00042079.m4a,CHIEF O' KIEF,Sophiya,chiefokief,sophiya,AUBEC2027351,25,0
00042456.m4a,Cannonball,The Cutaways,cannonball,thecutaways,AUBEC2028464,4,0
00071692.m4a,What Is Going On?,Sophisticated Dingo,whatisgoingon,sophisticateddingo,AUBEC2028870,14,0
00074063.m4a,outta this world (f*ckboys from space),Sarah Saint James,outtathisworldfckboysfromspace,sarahsaintjames,AUBEC2032261,8,0
00070266.m4a,Unbothered,"Cookie Cutters, Paradiise",unbothered,cookiecutters,AUBEC2032300,5,0
00073196.m4a,Youth,"Peach Body, LVRA",youth,peachbody,AUBEC2036690,8,0
00041193.m4a,Blue,"Kyso, Olive Amun",blue,kyso,AUBEC2037768,18,0
00065879.m4a,Soak,Matilda Pearl,soak,matildapearl,AUBEC2039169,15,0
00052253.m4a,I Never Knew,River Boy,ineverknew,riverboy,AUBEC2090013,19,0
00052936.m4a,Impossible,"Nina Las Vegas, Thai Chi Rosè",impossible,ninalasvegas,AUBEC2090079,43,0
00072536.m4a,Word Of The Day,RAT!hammock,wordoftheday,rathammock,AUBEC2090133,10,0
00038257.m4a,Alight,Ninajirachi,alight,ninajirachi,AUBEC2090380,97,0
00068436.m4a,The Heart Is a Muscle - Radio Edit,Gang of Youths,theheartisamuscleradioedit,gangofyouths,AUBM01800108,47,0
00052279.m4a,I Said Hi,Amy Shark,isaidhi,amyshark,AUBM01800110,180,0
00038392.m4a,All Loved Up,Amy Shark,alllovedup,amyshark,AUBM01800139,113,0
00057554.m4a,Middle of the Night,Amy Shark,middleofthenight,amyshark,AUBM01800145,3,0
00047907.m4a,Fire,Peking Duk,fire,pekingduk,AUBM01800181,154,0
00067059.m4a,Sugar,"Peking Duk, Jack River",sugar,pekingduk,AUBM01800432,81,0
00056275.m4a,Love Me Anyway,Conrad Sewell,lovemeanyway,conradsewell,AUBM01900001,34,0
00071642.m4a,What Can I Do If the Fire Goes Out? - Radio Edit,Gang of Youths,whatcanidoifthefiregoesoutradioedit,gangofyouths,AUBM01900029,13,0
00042347.m4a,Can't Buy Happiness,Tash Sultana,cantbuyhappiness,tashsultana,AUBM01900037,167,0
00051297.m4a,Hollywood,CLEWS,hollywood,clews,AUBM01900108,27,0
00047583.m4a,Feel Again,Kota Banks,feelagain,kotabanks,AUBM01900286,86,0
00072454.m4a,Wolf,"lil Tr33zy, A Boogie Wit da Hoodie",wolf,liltr33zy,AUBM01900449,170,0
00050414.m4a,Hard to Say,"GRAACE, I",hardtosay,graace,AUBM02000004,126,0
00045836.m4a,Down for You,"Cosmo's Midnight, Ruel",downforyou,cosmosmidnight,AUBM02000005,245,0
00046894.m4a,Everybody Rise,Amy Shark,everybodyrise,amyshark,AUBM02000132,211,0
00062314.m4a,Pretty Lady,Tash Sultana,prettylady,tashsultana,AUBM02000274,333,1
00061107.m4a,PSYCHO HOLE,ASHWARYA,psychohole,ashwarya,AUBM02000348,85,0
00066541.m4a,Standing With You,Guy Sebastian,standingwithyou,guysebastian,AUBM02000384,132,0
00049905.m4a,Greed,Tash Sultana,greed,tashsultana,AUBM02000386,270,1
00057610.m4a,Mikey Might,Jerome Farah,mikeymight,jeromefarah,AUBM02000465,22,0
00040658.m4a,Beyond the Pine,Tash Sultana,beyondthepine,tashsultana,AUBM02000572,299,1
00066123.m4a,Something I Do,Sweet Whirl,somethingido,sweetwhirl,AUCI12016304,21,0
00065353.m4a,Signs - Eden Prince Remix,"Starley, Eden Prince",signsedenprinceremix,starley,AUCN31800085,30,0
00044840.m4a,Defectively,Marrakesh,defectively,marrakesh,AUCN31900119,10,0
00056445.m4a,Lovers + Strangers,Starley,loversstrangers,starley,AUCN31900232,201,0
00063699.m4a,Robbery,Lime Cordiale,robbery,limecordiale,AUCZC1900004,85,0
00037991.m4a,Addicted to the Sunshine,Lime Cordiale,addictedtothesunshine,limecordiale,AUCZC1900005,90,0
00060375.m4a,On Our Own,Lime Cordiale,onourown,limecordiale,AUCZC2000011,86,0
00064703.m4a,Screw Loose,Lime Cordiale,screwloose,limecordiale,AUCZC2000013,68,0
00073015.m4a,You Were Right,RÜFÜS DU SOL,youwereright,rufusdusol,AUDCB1500501,133,0
00046655.m4a,Enemies,Mazy,enemies,mazy,AUDCB1701151,2,0
00067675.m4a,Take It,Dom Dolla,takeit,domdolla,AUDCB1701202,63,0
00044448.m4a,Dance and Chant,Yolanda Be Cool,danceandchant,yolandabecool,AUDCB1701306,99,0
00046561.m4a,Emotion,Purple Disco Machine,emotion,purplediscomachine,AUDCB1701421,220,0
00064413.m4a,San Frandisco,Dom Dolla,sanfrandisco,domdolla,AUDCB1701462,361,1
00056253.m4a,Love Is the Score of Nothing,Jess Ribeiro,loveisthescoreofnothing,jessribeiro,AUDJ01801949,7,0
00061172.m4a,Painkiller,Jess Ribeiro,painkiller,jessribeiro,AUDJ01801950,3,0
00066571.m4a,Stars,Denise Le Menice,stars,deniselemenice,AUDJ01901981,21,0
00055833.m4a,Logan’s Beach,Gena Rose Bruce,logansbeach,genarosebruce,AUDJ01901983,12,0
00057168.m4a,Matsudo City Life,Sui Zhen,matsudocitylife,suizhen,AUDJ01902003,17,0
00040392.m4a,Being a Woman,Sui Zhen,beingawoman,suizhen,AUDJ01902006,21,0
00067386.m4a,Swear Jar,Obscura Hail,swearjar,obscurahail,AUDJ01902031,9,0
00068073.m4a,Tennis Fan,"Banoffee, Empress Of",tennisfan,banoffee,AUDJ01902051,117,0
00060527.m4a,One Night Stand,Banoffee,onenightstand,banoffee,AUDJ01902054,143,0
00043884.m4a,Count on You,Banoffee,countonyou,banoffee,AUDJ01902055,136,0
00063891.m4a,Roses,Memphis LK,roses,memphislk,AUDJ01902066,25,0
00049063.m4a,Get To It,Tia Gostelow,gettoit,tiagostelow,AUDQL1900002,35,0
00051166.m4a,Hmmm,Jiordy,hmmm,jiordy,AUDYH2000002,16,0
00044591.m4a,Day & Age,Ball Park Music,dayage,ballparkmusic,AUF302000011,78,0
00054248.m4a,Killing My Time,G Flip,killingmytime,gflip,AUFF01800032,87,0
00038544.m4a,All Your Love,"Flight Facilities, Dustin Tebbutt",allyourlove,flightfacilities,AUFF01800034,190,0
00052516.m4a,I'm Good,Wafia,imgood,wafia,AUFF01800060,148,0
00041663.m4a,Bridges,Erthlings,bridges,erthlings,AUFF01800061,67,0
00040606.m4a,Better Together,"Hayden James, Running Touch",bettertogether,haydenjames,AUFF01800068,206,0
00064443.m4a,Sanity,Nick Murphy,sanity,nickmurphy,AUFF01900011,298,1
00050995.m4a,High Beams,"Flume, HWLS, slowthai",highbeams,flume,AUFF01900031,211,0
00045256.m4a,Disc Read Error,Fortunes,discreaderror,fortunes,AUFF01900047,41,0
00048588.m4a,Friends,"Flume, Reo Cragun",friends,flume,AUFF01900052,329,1
00061618.m4a,Perfect Blue,"Basenji, Erthlings",perfectblue,basenji,AUFF01900054,35,0
00059885.m4a,Nowhere To Go,"Hayden James, NAATIONS",nowheretogo,haydenjames,AUFF01900056,302,1
00047542.m4a,Favours,"Hayden James, Nat Dunn",favours,haydenjames,AUFF01900063,190,0
00055207.m4a,Let You Know,"Flume, London Grammar",letyouknow,flume,AUFF01900094,730,1
00056437.m4a,Lover,G Flip,lover,gflip,AUFF01900103,92,0
00062757.m4a,Quits,"Flume, Reo Cragun",quits,flume,AUFF01900112,379,1
00049239.m4a,Girls Like Me,yergurl,girlslikeme,yergurl,AUFF01900126,24,0
00064077.m4a,Rushing Back,"Flume, Vera Blue",rushingback,flume,AUFF01900128,730,1
00062067.m4a,Poolside,Late Verlane,poolside,lateverlane,AUFF01900153,23,0
00068318.m4a,The Difference,"Flume, Toro y Moi",thedifference,flume,AUFF02000008,914,1
00054809.m4a,Latchkey,DWY,latchkey,dwy,AUFF02000021,33,0
00063595.m4a,Right Time,"Hayden James, Icona Pop",righttime,haydenjames,AUFF02000022,322,1
00069412.m4a,To Un-know,Sig Nu Gris,tounknow,signugris,AUFYI1901401,8,0
00071052.m4a,Wake Me,Braille Face,wakeme,brailleface,AUFYI2000305,14,0
00065922.m4a,Softly Spoken,Braille Face,softlyspoken,brailleface,AUFYI2000703,28,0
00066143.m4a,Something Tells Me,Meg Mac,somethingtellsme,megmac,AUGKE1800021,48,0
00049639.m4a,Good Grace - Live,Hillsong UNITED,goodgracelive,hillsongunited,AUHS01811226,66,0
00072114.m4a,Whole Heart (Hold Me Now) - Live,Hillsong UNITED,wholeheartholdmenowlive,hillsongunited,AUHS01811228,103,0
00038899.m4a,Another In The Fire - Live,Hillsong UNITED,anotherinthefirelive,hillsongunited,AUHS01811229,89,0
00041901.m4a,Burn,The Brave,burn,thebrave,AUI441800219,17,0
00041882.m4a,Burn It Down,"Silverstein, Caleb Shomo",burnitdown,silverstein,AUI441900128,66,0
00056281.m4a,Love Me First,Stellie,lovemefirst,stellie,AUI441900133,16,0
00053150.m4a,Infinite,"Silverstein, Aaron Gillespie",infinite,silverstein,AUI441900244,171,0
00043631.m4a,Composure,Yours Truly,composure,yourstruly,AUI442000046,27,0
00069457.m4a,Together,Yours Truly,together,yourstruly,AUI442000113,38,0
00052831.m4a,If You Say So,Down for Tomorrow,ifyousayso,downfortomorrow,AUINH1800001,4,0
00068311.m4a,The Dawn of Birds - Full Length Mix,Space Farm,thedawnofbirdsfulllengthmix,spacefarm,AUIPZ1900003,5,0
00060372.m4a,On My Way,Sheppard,onmyway,sheppard,AUIYA1900001,90,0
00045140.m4a,Die Young,Sheppard,dieyoung,sheppard,AUIYA1900004,175,0
00072341.m4a,Wish You Were Here,Charlie Collins,wishyouwerehere,charliecollins,AUJEK1700047,23,0
00055606.m4a,Linda,Angus1,linda,angus1,AUJGY1900001,16,0
00067824.m4a,Tamed Grief,Sycco,tamedgrief,sycco,AUJJX1900011,1,0
00070467.m4a,Up In The Clouds,Skegss,upintheclouds,skegss,AUJLG1800021,33,0
00070368.m4a,Unholy,Hollie Col,unholy,holliecol,AUJPV1900007,13,0
00067327.m4a,Sure,Hatchie,sure,hatchie,AULI01714250,42,0
00038029.m4a,Adored,Hatchie,adored,hatchie,AULI01818510,61,0
00050846.m4a,Her Own Heart,Hatchie,herownheart,hatchie,AULI01821470,73,0
00060065.m4a,Obsessed,Hatchie,obsessed,hatchie,AULI01821480,201,0
00066653.m4a,Stay With Me,Hatchie,staywithme,hatchie,AULI01821520,106,0
00052024.m4a,I Don’t Want To Be Alone,Green Buzzard,idontwanttobealone,greenbuzzard,AULI01923960,23,0
00068628.m4a,"The Piss, The Perfume",Hayley Mary,thepisstheperfume,hayleymary,AULI01926040,28,0
00069361.m4a,Tired Of Talking,Rojdar,tiredoftalking,rojdar,AULI01926110,8,0
00048054.m4a,Flicker,Juno Mamba,flicker,junomamba,AULI01926860,12,0
00065391.m4a,Silver - Edit,DMA'S,silveredit,dmas,AULI01927850,41,0
00044807.m4a,Deep Black Sea,D'Arcy Spiller,deepblacksea,darcyspiller,AULI01928160,21,0
00067708.m4a,Take My Hand,Lastlings,takemyhand,lastlings,AULI01928680,134,0
00042285.m4a,Cameo,Rolling Blackouts Coastal Fever,cameo,rollingblackoutscoastalfever,AULI02029370,176,0
00058800.m4a,Nena,YEИDRY,nena,yeиdry,AULI02029790,36,0
00070402.m4a,Unready (aO2Sk),Gordi,unreadyao2sk,gordi,AULI02032290,92,0
00039119.m4a,Arrows,Shannen James,arrows,shannenjames,AULI02032720,26,0
00047318.m4a,Fall Apart,"merci, mercy",fallapart,merci,AULI02033110,173,0
00066149.m4a,Something You Like,"merci, mercy",somethingyoulike,merci,AULI02034790,119,0
00061741.m4a,Photograph,Aura Cools,photograph,auracools,AULLL1900002,24,0
00038144.m4a,Ahora Sí - Original Mix,"Furious Frank, Ivy Barkakati",ahorasioriginalmix,furiousfrank,AULLW1900032,2,0
00065143.m4a,Shelter,Low Key Crush,shelter,lowkeycrush,AULRX1900002,14,0
00051626.m4a,How Long Must We Wait,Ah Trees,howlongmustwewait,ahtrees,AULUG1500009,6,0
00072578.m4a,World,Tiny Castle,world,tinycastle,AUMEV1800171,3,0
00058570.m4a,NEEDS,Kymie,needs,kymie,AUMEV1801101,7,0
00045547.m4a,Don't Ever Wanna See You Leave,Jye,donteverwannaseeyouleave,jye,AUMEV1903158,10,0
00054159.m4a,Ken Done,Neighbour,kendone,neighbour,AUMEV1903484,2,0
00040566.m4a,Better Know Better,Tomtom,betterknowbetter,tomtom,AUMEV1903538,4,0
00058182.m4a,Move That,Lauren,movethat,lauren,AUMEV1903686,13,0
00072507.m4a,Wonder,Pink Matter,wonder,pinkmatter,AUMEV1903798,7,0
00066775.m4a,Stingray,Quiet Bison,stingray,quietbison,AUMEV1904409,4,0
00073031.m4a,You on My Mind,Jye,youonmymind,jye,AUMEV1904541,14,0
00042500.m4a,Care,Abby Bella May,care,abbybellamay,AUMEV1905364,14,0
00051149.m4a,Hit My Line,Sia Babez,hitmyline,siababez,AUMEV1905684,36,0
00072279.m4a,Window Seat,Polygon Woods,windowseat,polygonwoods,AUMEV1905787,7,0
00069830.m4a,Trinkets,Split Feed,trinkets,splitfeed,AUMEV1906251,5,0
00059829.m4a,Nothing to Lose,Briskey,nothingtolose,briskey,AUMEV1906830,14,0
00043024.m4a,Choose,Mariam Sawires,choose,mariamsawires,AUMEV1906838,13,0
00072798.m4a,Yellow Silk,Raxfen,yellowsilk,raxfen,AUMEV1907620,6,0
00063418.m4a,Retribution,Droves,retribution,droves,AUMEV1908119,10,0
00050935.m4a,Hey Toney,The Fillmores,heytoney,thefillmores,AUMEV1908590,1,0
00074384.m4a,ur baby,tomorrow's forecast,urbaby,tomorrowsforecast,AUMEV1910843,8,0
00039189.m4a,Astronomy,Katanak,astronomy,katanak,AUMEV2011940,24,0
00053832.m4a,Jumper,BOY,jumper,boy,AUMEV2013273,9,0
00045705.m4a,Don't Want to Talk About It,Briskey,dontwanttotalkaboutit,briskey,AUMEV2013546,36,0
00064123.m4a,SCREEN,BENTLE,screen,bentle,AUMEV2013814,15,0
00046966.m4a,Everything sucks and it's everyone's fault but mine,Baby Shower,everythingsucksanditseveryonesfaultbutmine,babyshower,AUMEV2014047,10,0
00072189.m4a,Wide Open,Sunbather,wideopen,sunbather,AUMEV2014290,11,0
00039025.m4a,Apple & Peach,Yuto,applepeach,yuto,AUMEV2015437,27,0
00074041.m4a,oh my God,ZACHARY,ohmygod,zachary,AUMEV2015660,5,0
00073997.m4a,nice to have someone to miss,Balu Brigada,nicetohavesomeonetomiss,balubrigada,AUMEV2016186,17,0
00056259.m4a,Love Level,Love Level,lovelevel,lovelevel,AUMEV2016446,27,0
00046063.m4a,Drive,Ironess,drive,ironess,AUMEV2016580,10,0
00053878.m4a,Just Be Still,Güs,justbestill,gus,AUMEV2016714,13,0
00067193.m4a,Sunburnt In July,Noah Dillon,sunburntinjuly,noahdillon,AUMEV2016997,18,0
00041253.m4a,Body Language,PNK FME,bodylanguage,pnkfme,AUMEV2017164,35,0
00052756.m4a,If All I Ever Did,HANNI,ifallieverdid,hanni,AUMEV2017960,18,0
00040624.m4a,Better,Genes,better,genes,AUMEV2018388,22,0
00047926.m4a,Firing Rifle,PNK FME,firingrifle,pnkfme,AUMEV2018516,36,0
00065683.m4a,Slow Down,The Buoys,slowdown,thebuoys,AUMEV2018857,9,0
00067328.m4a,Surf 'n' Turf,Australian Athlete,surfnturf,australianathlete,AUMGB1800092,4,0
00049552.m4a,Golden Girl,Seaside,goldengirl,seaside,AUMGB1800202,18,0
00067129.m4a,Summer Lover,Cub Sport,summerlover,cubsport,AUMGB1800791,71,0
00050179.m4a,Habits,Seaside,habits,seaside,AUMGB1900015,12,0
00046653.m4a,Enemies,EGOISM,enemies,egoism,AUMGB1900059,15,0
00069489.m4a,Tomorrow I'll Try,Heaven Honey,tomorrowilltry,heavenhoney,AUMGB2000028,10,0
00043385.m4a,"Collarbone, 2011",Ceres,collarbone2011,ceres,AUNCC1900003,4,0
00040730.m4a,Big Mistake,Elizabeth Fader,bigmistake,elizabethfader,AUNCC2000079,17,0
00048155.m4a,Foam - Seaside Mix,Symptoms of Love,foamseasidemix,symptomsoflove,AUNHZ2000001,5,0
00072856.m4a,You & I,Sondrio,youi,sondrio,AUNJC1900032,12,0
00070465.m4a,"Up Here for Thinking, Down Here for Dancing",Sonny Grin,uphereforthinkingdownherefordancing,sonnygrin,AUNTW1900002,7,0
00038001.m4a,Addiction,Denise Le Menice,addiction,deniselemenice,AUNUK1700091,4,0
00058925.m4a,Never Not That,Skydeck,nevernotthat,skydeck,AUNUK1800017,10,0
00042775.m4a,Changa - Blanke Remix,"PNAU, Blanke",changablankeremix,pnau,AUNV01800272,32,0
