id,song,artist,timestamp,isrc,release_date,tags
00062525.m4a,Pull Up N Wreck (With Metro Boomin),"Big Sean, Metro Boomin, 21 Savage",2021-01-18T22:52:47.957Z,USUG11702041,2017-11-02T00:00:00.000Z,HIP-HOP/RAP
00040297.m4a,Beauty Queen,WENS,2021-01-18T22:52:47.957Z,USWB12000057,2020-02-14T00:00:00.000Z,POP
00040868.m4a,Bizzy,A'Donzo,2021-01-18T22:52:47.957Z,TCAEB1988541,2019-03-21T00:00:00.000Z,R&B/SOUL
00056509.m4a,Loyalty Before Royalty,Trippie Redd,2021-01-18T22:52:47.957Z,QMEU31819745,2018-11-08T00:00:00.000Z,HIP-HOP/RAP
00062231.m4a,Pray For Real,"Peter CottonTale, tobi lou, Chance the Rapper",2021-01-18T22:52:47.957Z,QZ85M2069232,2020-04-16T00:00:00.000Z,CHRISTIAN & GOSPEL
00058711.m4a,Natural Blues,"Showtek, Moby",2021-01-18T22:52:47.957Z,NLDD61800013,2018-01-04T00:00:00.000Z,DANCE
00049273.m4a,Give Me Another Chance,Empress Of,2021-01-18T22:52:47.957Z,QM4TW2026888,2020-03-02T00:00:00.000Z,POP
00072665.m4a,Wuu!,Moe,2021-01-18T22:52:47.957Z,USSM12006717,2020-11-12T00:00:00.000Z,HIP-HOP/RAP
00051593.m4a,How Did We Get Here?,"Brigetta, Jake Scott",2021-01-18T22:52:47.957Z,QZHZ51973185,2020-01-24T00:00:00.000Z,POP
00048752.m4a,Funeral,Miguel,2021-01-18T22:52:47.957Z,USRC11903399,2019-10-31T00:00:00.000Z,R&B/SOUL
00050285.m4a,Hands On,"Kanye West, Fred Hammond",2021-01-18T22:52:47.957Z,USUM71920458,2019-10-24T00:00:00.000Z,HIP-HOP/RAP
00049239.m4a,Girls Like Me,yergurl,2021-01-18T22:52:47.957Z,AUFF01900126,2019-08-22T00:00:00.000Z,POP
00044633.m4a,Daydreams,Easy Life,2021-01-18T22:52:47.957Z,GBUM72004625,2020-10-20T00:00:00.000Z,ALTERNATIVE
00052516.m4a,I'm Good,Wafia,2021-01-18T22:52:47.957Z,AUFF01800060,2018-08-09T00:00:00.000Z,ELECTRONIC
00061839.m4a,Pink & Blue,"Tycho, Saint Sinner",2021-01-18T22:52:47.957Z,GBCFB1900063,2019-05-13T00:00:00.000Z,ELECTRONIC
00061395.m4a,Party Time,"Tiësto, SWACQ",2021-01-18T22:52:47.957Z,CYA111900054,2019-04-04T00:00:00.000Z,DANCE
00040702.m4a,Big Drip,Fivio Foreign,2021-01-18T22:52:47.957Z,USSM11913981,2019-11-12T00:00:00.000Z,HIP-HOP/RAP
00060842.m4a,Out Of It,Vundabar,2021-01-18T22:52:47.957Z,QMCE71302641,2020-03-12T00:00:00.000Z,INDEPENDENT ROCK
00060655.m4a,Only You (1twofeel Reprise),Jay Glavany,2021-01-18T22:52:47.957Z,QZES51992018,2019-03-23T00:00:00.000Z,ALTERNATIVE
00039923.m4a,Bail Out,YBN Nahmir,2021-01-18T22:52:47.957Z,QM24S1705255,2017-12-07T00:00:00.000Z,HIP-HOP/RAP
00063978.m4a,Run Away,barnacle boi,2021-01-18T22:52:47.957Z,TCADQ1831195,2018-05-10T00:00:00.000Z,ELECTRONIC
00060166.m4a,Oh GOD,Orla Gartland,2021-01-18T22:52:47.957Z,QM4TW2019641,2020-02-21T00:00:00.000Z,VOCAL
00050059.m4a,Guys,The 1975,2021-01-18T22:52:47.957Z,GBK3W1901083,2020-05-13T00:00:00.000Z,ALTERNATIVE
00037373.m4a,3 Batidas - Ao Vivo,Guilherme & Benuto,2021-01-18T22:52:47.957Z,BX92R1900002,2019-08-15T00:00:00.000Z,SERTANEJO
00044566.m4a,Darkside,"Alan Walker, Au",2021-01-18T22:52:47.957Z,NOG841806010,2018-07-26T00:00:00.000Z,DANCE
00046221.m4a,Dynamite,"Pretence, Dave Summit",2021-01-18T22:52:47.957Z,USLQ22089199,2020-06-01T00:00:00.000Z,DANCE
00058494.m4a,My Soul I,Anna Leone,2021-01-18T22:52:47.957Z,FR96X1726575,2017-09-07T00:00:00.000Z,ALTERNATIVE
00061664.m4a,Permanent,"Kygo, JHart",2021-01-18T22:52:47.957Z,SEBGA1700449,2017-10-31T00:00:00.000Z,DANCE
00067747.m4a,Taken,MUNA,2021-01-18T22:52:47.957Z,USRC11901667,2019-09-05T00:00:00.000Z,ALTERNATIVE
00048026.m4a,Flaws and All,Ebenezer,2021-01-18T22:52:47.957Z,ZZOPM1901442,2020-01-17T00:00:00.000Z,HIP-HOP/RAP
00052941.m4a,Impulse,Dave202,2021-01-18T22:52:47.957Z,CH3131700138,2017-12-28T00:00:00.000Z,DANCE
00071160.m4a,Want Me Back,BENEE,2021-01-18T22:52:47.957Z,USUM71911088,2019-06-14T00:00:00.000Z,ALTERNATIVE
00059485.m4a,No Sleep,"Gab3, Skepta",2021-01-18T22:52:47.957Z,QZHHE1900001,2019-07-11T00:00:00.000Z,ROCK
00072689.m4a,XS,Rina Sawayama,2021-01-18T22:52:47.957Z,GBK3W1901224,2020-03-03T00:00:00.000Z,ALTERNATIVE
00050632.m4a,Heart Shaped Box,Neovaii,2021-01-18T22:52:47.957Z,QM4TX1941977,2019-04-04T00:00:00.000Z,DANCE
00049136.m4a,Ghost,Christopher,2021-01-18T22:52:47.957Z,DKAZA1900299,2020-01-16T00:00:00.000Z,POP
00053977.m4a,Just,Lane 8,2021-01-18T22:52:47.957Z,GBEWA1902992,2019-12-31T00:00:00.000Z,DANCE
00039579.m4a,Baby Boy,Kevin Abstract,2021-01-18T22:52:47.957Z,USRC11901034,2019-04-17T00:00:00.000Z,POP
00043446.m4a,Come As You Are,David Leonard,2021-01-18T22:52:47.957Z,US25L1800541,2019-03-01T00:00:00.000Z,CHRISTIAN & GOSPEL
00058871.m4a,Never Fall,"J-Smash, Emtee",2021-01-18T22:52:47.957Z,QZDA61812285,2018-07-12T00:00:00.000Z,HIP-HOP/RAP
00045861.m4a,Downtown,"Moksi, Ookay",2021-01-18T22:52:47.957Z,USA2P1933533,2019-07-04T00:00:00.000Z,HOUSE
00062017.m4a,Point One,Demi Riquísimo,2021-01-18T22:52:47.957Z,GBKQU1973296,2019-08-08T00:00:00.000Z,HOUSE
00048866.m4a,GUMMO,6ix9ine,2021-01-18T22:52:47.957Z,QMEU31720103,2017-11-09T00:00:00.000Z,HIP-HOP/RAP
00047744.m4a,Feuer,Capital Bra,2021-01-18T22:52:47.957Z,DEFZ71800075,2018-11-29T00:00:00.000Z,HIP-HOP/RAP
00041560.m4a,Breach (Walk Alone),"Martin Garrix, Blinders",2021-01-18T22:52:47.957Z,NLM5S1800361,2018-10-14T00:00:00.000Z,DANCE
00062106.m4a,Por Perro,"Sebastian Yatra, Luis Figueroa, Lary Over",2021-01-18T22:52:47.957Z,USUM71802269,2018-03-29T00:00:00.000Z,LATIN POP
00040075.m4a,Barren Sphere,Galtier,2021-01-18T22:52:47.957Z,CA70K1800348,2018-07-26T00:00:00.000Z,DOWNTEMPO
00071726.m4a,What They Say,Maya Jane Coles,2021-01-18T22:52:47.957Z,GBKPL1417035,2010-09-21T00:00:00.000Z,DANCE
00045448.m4a,Dodger Black,JAMESDAVIS,2021-01-18T22:52:47.957Z,USUM71904084,2019-03-20T00:00:00.000Z,R&B/SOUL
00052364.m4a,I Want More,KALEO,2021-01-18T22:52:47.957Z,USAT21907642,2020-01-14T00:00:00.000Z,ALTERNATIVE
00049698.m4a,Good Times,The Lone Bellow,2021-01-18T22:52:47.957Z,USDMG2098903,2020-01-09T00:00:00.000Z,SINGER/SONGWRITER
00062862.m4a,Rabbit Hole,Jenny Lewis,2021-01-18T22:52:47.957Z,USWB11803420,2019-03-21T00:00:00.000Z,ALTERNATIVE
00058304.m4a,Murky Waters,Cameo Blush,2021-01-18T22:52:47.957Z,DEU671901195,2019-08-15T00:00:00.000Z,ELECTRONIC
00045700.m4a,Don't Wanna Know,"Maroon 5, Kendrick Lamar",2021-01-18T22:52:47.957Z,USUM71609975,2016-10-10T00:00:00.000Z,POP
00066231.m4a,Sophie,Arlo Parks,2021-01-18T22:52:47.957Z,GBLVL1900073,2019-10-23T00:00:00.000Z,NEO-SOUL
00063432.m4a,Revenge,$NOT,2021-01-18T22:52:47.957Z,QMCE32000488,2020-09-24T00:00:00.000Z,HIP-HOP/RAP
00056854.m4a,Make A Move,EMMA WAHLIN,2021-01-18T22:52:47.957Z,JPPO01805402,2019-02-05T00:00:00.000Z,POP
00057977.m4a,Monte Carlo,Remi Wolf,2021-01-18T22:52:47.957Z,USUG12002417,2020-08-03T00:00:00.000Z,POP
00063006.m4a,Raw Dinner,"Cruel Santino, Kida Kudz",2021-01-18T22:52:47.957Z,US23A1501318,2019-05-16T00:00:00.000Z,ALTERNATIVE
00043168.m4a,Claustrophobic,Marlhy,2021-01-18T22:52:47.957Z,USA2P1931491,2019-06-28T00:00:00.000Z,POP
00041308.m4a,Bong,Deniz Koyu,2021-01-18T22:52:47.957Z,GBJ4B1200091,2011-12-31T00:00:00.000Z,ELECTRONIC
00051714.m4a,Hunger,How To Dress Well,2021-01-18T22:52:47.957Z,GBCEL1800411,2018-09-09T00:00:00.000Z,ELECTRONIC
00043471.m4a,Come Home,The Undercover Dream Lovers,2021-01-18T22:52:47.957Z,TCADD1744797,2017-08-01T00:00:00.000Z,POP
00045434.m4a,Do You Wanna Dance,Beverly Pills,2021-01-18T22:52:47.957Z,NLF711701655,2017-03-12T00:00:00.000Z,DANCE
00043681.m4a,Connaissais de Face,Khruangbin,2021-01-18T22:52:47.957Z,USJ5G2019303,2020-06-25T00:00:00.000Z,ALTERNATIVE
00073830.m4a,inolvidable,Giulia Be,2021-01-18T22:52:47.957Z,BRWMB2000760,2020-10-09T00:00:00.000Z,BRAZILIAN
00069965.m4a,Tu Castigo,"Mariah Angeliq, Lyanno",2021-01-18T22:52:47.957Z,USUM72009273,2020-07-31T00:00:00.000Z,SPANISH POP
00060700.m4a,Open My Mouth,Kiiara,2021-01-18T22:52:47.957Z,USAT21902337,2019-06-06T00:00:00.000Z,POP
00070428.m4a,Until Then,"Kenny Barron, Dave Holland Trio, Johnathan Blake",2021-01-18T22:52:47.957Z,US5821900004,2020-03-05T00:00:00.000Z,JAZZ
00073514.m4a,dimple,BTS,2021-01-18T22:52:47.957Z,KRA381702189,2017-09-17T00:00:00.000Z,K-POP
00043234.m4a,Closer,"Shir Sol Evans, Courtney Bennett",2021-01-18T22:52:47.957Z,USHM81925392,2019-08-15T00:00:00.000Z,R&B/SOUL
00052743.m4a,Identity,DJ Delish,2021-01-18T22:52:47.957Z,USYBL1900951,2019-07-18T00:00:00.000Z,ELECTRONIC
00048275.m4a,Foreign Car,Kelsey Lu,2021-01-18T22:52:47.957Z,USSM11805687,2019-04-18T00:00:00.000Z,POP
00058479.m4a,My People,Amber Mark,2021-01-18T22:52:47.957Z,GBUM72002810,2020-06-18T00:00:00.000Z,R&B/SOUL
00063339.m4a,Reminder,The Weeknd,2021-01-18T22:52:47.957Z,USUG11600998,2016-11-24T00:00:00.000Z,R&B/SOUL
00064393.m4a,Same Space?,Tiana Major9,2021-01-18T22:52:47.957Z,USUG12002760,2020-08-07T00:00:00.000Z,R&B/SOUL
00040506.m4a,Best Laid Plans,Harmony Woods,2021-01-18T22:52:47.957Z,GBKPL1957458,2019-08-20T00:00:00.000Z,ALTERNATIVE
00065846.m4a,So Much Love to Give,Eris Drew,2021-01-18T22:52:47.957Z,US3282004403,2020-02-09T00:00:00.000Z,DANCE
00060253.m4a,Old Place,Fallenius,2021-01-18T22:52:47.957Z,SE5BU2020934,2020-01-30T00:00:00.000Z,DANCE
00071939.m4a,Where U Are,Rina Sawayama,2021-01-18T22:52:47.957Z,FR96X1504282,2014-12-31T00:00:00.000Z,POP
00070213.m4a,Uh-Oh,(G)I-DLE,2021-01-18T22:52:47.957Z,KRA391900028,2019-06-25T00:00:00.000Z,K-POP
00058587.m4a,NICE TO MEET YA!,The Griswolds,2021-01-18T22:52:47.957Z,USA2P1941552,2019-08-29T00:00:00.000Z,ALTERNATIVE
00038224.m4a,Alegría,Alfredo Rodriguez,2021-01-18T22:52:47.957Z,USMAR1813010,2018-02-04T00:00:00.000Z,LATIN JAZZ
00073535.m4a,dovetail,Ahnnu,2021-01-18T22:52:47.957Z,QMHG41847002,2018-08-09T00:00:00.000Z,ELECTRONIC
00053853.m4a,Junkie (Femme Fatale),Ben Chandler,2021-01-18T22:52:47.957Z,QZ93L2018120,2020-04-27T00:00:00.000Z,ALTERNATIVE
00051556.m4a,House No Wheels,Tamil Rogeon,2021-01-18T22:52:47.957Z,DEG932001336,2020-09-29T00:00:00.000Z,JAZZ
00041341.m4a,Boomerang,"Lalo Ebratt, Trapical",2021-01-18T22:52:47.957Z,ES5701900850,2019-10-09T00:00:00.000Z,LATIN URBAN
00058052.m4a,More Love,Sedona,2021-01-18T22:52:47.957Z,QZ93L1962809,2019-10-23T00:00:00.000Z,POP
00054771.m4a,Last Day on Earth,Pacific Patterns,2021-01-18T22:52:47.957Z,QM4DW1869930,2018-04-29T00:00:00.000Z,DOWNTEMPO
00064089.m4a,S T R E T C H,Orion Sun,2021-01-18T22:52:47.957Z,TCADR1812713,2018-06-01T00:00:00.000Z,R&B/SOUL
00051846.m4a,I Am the Man,Tyrik Tell,2021-01-18T22:52:47.957Z,QZES61899571,2018-11-22T00:00:00.000Z,HIP-HOP/RAP
00043654.m4a,Conexión,Mechi Pieretti,2021-01-18T22:52:47.957Z,QZDA41977607,2019-04-05T00:00:00.000Z,LATIN URBAN
00040835.m4a,Birthday,"Usher, Zaytoven",2021-01-18T22:52:47.957Z,USRC11803502,2018-10-11T00:00:00.000Z,R&B/SOUL
00072845.m4a,"Yo x Ti, Tu x Mi","ROSALÍA, Ozuna",2021-01-18T22:52:47.957Z,USSM11900596,2019-08-14T00:00:00.000Z,LATINO
00059335.m4a,No Label,Lil Durk,2021-01-18T22:52:47.957Z,USUM71901686,2019-02-07T00:00:00.000Z,HIP-HOP/RAP
00055563.m4a,Lil Bebe,DaniLeigh,2021-01-18T22:52:47.957Z,USUM71810384,2018-07-19T00:00:00.000Z,HIP-HOP/RAP
00074373.m4a,uNiverse Love,JWords,2021-01-18T22:52:47.957Z,USYBL2000354,2020-02-13T00:00:00.000Z,ELECTRONIC
00037636.m4a,@ MEH,Playboi Carti,2021-01-18T22:52:47.957Z,USUM72007425,2020-04-15T00:00:00.000Z,HIP-HOP/RAP
00072942.m4a,You Feel Me,Papithbk,2021-01-18T22:52:47.957Z,QZES51898987,2018-10-23T00:00:00.000Z,HIP-HOP/RAP
00068394.m4a,The Garden,Jelani Aryeh,2021-01-18T22:52:47.957Z,USUYG1267448,2019-08-26T00:00:00.000Z,ALTERNATIVE
00041896.m4a,Burn,Adam Hender,2021-01-18T22:52:47.957Z,GBMJG1921448,2019-11-28T00:00:00.000Z,POP
00065316.m4a,Sick of It,"Vanic, Bryce Fox",2021-01-18T22:52:47.957Z,GBKPL2029009,2020-11-19T00:00:00.000Z,ALTERNATIVE
00044627.m4a,Daydreaming Pilot,Alex Siegel,2021-01-18T22:52:47.957Z,GBKPL1806529,2018-06-07T00:00:00.000Z,ALTERNATIVE
00068338.m4a,The End,Lonr,2021-01-18T22:52:47.957Z,USSM12005121,2020-08-27T00:00:00.000Z,HIP-HOP/RAP
00046643.m4a,Endlessly,Alina Baraz,2021-01-18T22:52:47.957Z,USQE91600126,2020-04-07T00:00:00.000Z,R&B/SOUL
00038694.m4a,Always Maybe,Isabella,2021-01-18T22:52:47.957Z,USUYG1308378,2020-05-14T00:00:00.000Z,R&B/SOUL
00040238.m4a,Beat the Track - Drumcomplex & Roel Salemink Mix,"Carl Cox, Nile Rodgers, Drumcomplex, Roel Salemink",2021-01-18T22:52:47.957Z,AUXN21732498,2017-10-26T00:00:00.000Z,TECHNO
00055621.m4a,Linnaea,Pariah,2021-01-18T22:52:47.957Z,GBEXH1800070,2018-06-05T00:00:00.000Z,ELECTRONIC
00060569.m4a,One Too Many,FLETCHER,2021-01-18T22:52:47.957Z,USUG11903827,2019-11-14T00:00:00.000Z,POP
00069542.m4a,Too Good to Be True,"Danny Avila, The Vamps, Machine Gun Kelly",2021-01-18T22:52:47.957Z,ES5021800062,2018-03-01T00:00:00.000Z,DANCE
00059538.m4a,No Use,Christian Leave,2021-01-18T22:52:47.957Z,USWB12001229,2020-05-29T00:00:00.000Z,INTERNATIONAL POP
00068829.m4a,The World Can Burn - Game Over DJs Remix,"Dada Life, Max White, Game Over Djs",2021-01-18T22:52:47.957Z,SE22J1800028,2019-01-17T00:00:00.000Z,DANCE
00071687.m4a,What If,Amber Mark,2021-01-18T22:52:47.957Z,GBUM71902577,2019-06-06T00:00:00.000Z,ALTERNATIVE
00061559.m4a,Pelican Dub,"Nick León, Lila Tirando a Violeta",2021-01-18T22:52:47.957Z,DEG931992210,2019-03-07T00:00:00.000Z,ELECTRONIC
00057134.m4a,Mary,Bausa,2021-01-18T22:52:47.957Z,DEA621900221,2019-03-28T00:00:00.000Z,HIP-HOP/RAP
00049452.m4a,Goat Flow,Lowkey,2021-01-18T22:52:47.957Z,FR10S1975913,2019-04-04T00:00:00.000Z,HIP-HOP/RAP
00072404.m4a,Without Me (with Juice WRLD),"Halsey, Juice WRLD",2021-01-18T22:52:47.957Z,USUM71900157,2019-01-08T00:00:00.000Z,ALTERNATIVE
00051301.m4a,Holocene,Bon Iver,2021-01-18T22:52:47.957Z,US38Y1113503,2011-05-20T00:00:00.000Z,ALTERNATIVE
00060768.m4a,Organs Made from Copper,Crow's Feet,2021-01-18T22:52:47.957Z,TCADK1706774,2017-12-10T00:00:00.000Z,ALTERNATIVE
00073572.m4a,facetime (4g LTE),"Paul Russell, Kuwada",2021-01-18T22:52:47.957Z,QZES82079772,2020-06-04T00:00:00.000Z,HIP-HOP/RAP
00045396.m4a,Do What I Do,BlocBoy JB,2021-01-18T22:52:47.957Z,USUM72014823,2020-07-31T00:00:00.000Z,HIP-HOP/RAP
00042207.m4a,Californian Soil,London Grammar,2021-01-18T22:52:47.957Z,GBCEN2000077,2020-10-01T00:00:00.000Z,ALTERNATIVE
00047642.m4a,Feel Your Love,Valentino Khan,2021-01-18T22:52:47.957Z,USZ4V1800109,2018-07-19T00:00:00.000Z,DANCE
00044814.m4a,Deep Down,Zhavia Ward,2021-01-18T22:52:47.957Z,USSM11806919,2018-08-29T00:00:00.000Z,POP
00064395.m4a,Same Way,Love Mansuy,2021-01-18T22:52:47.957Z,USWB12004176,2020-10-22T00:00:00.000Z,R&B/SOUL
00072288.m4a,"Wine, Beer, Whiskey - Radio Edit",Little Big Town,2021-01-18T22:52:47.957Z,USUG12001858,2020-05-29T00:00:00.000Z,COUNTRY
00055830.m4a,Lofi Analog Joint,"K, Le Maestro",2021-01-18T22:52:47.957Z,QM24S1908198,2019-02-18T00:00:00.000Z,HIP-HOP/RAP
00054652.m4a,La Respuesta,"Becky G, Maluma",2021-01-18T22:52:47.957Z,USRC11900514,2019-04-18T00:00:00.000Z,LATIN URBAN
00041291.m4a,Bolt,OMB Bloodbath,2021-01-18T22:52:47.957Z,USUM72014825,2020-08-07T00:00:00.000Z,HIP HOP / RAP
00040106.m4a,Battle Scars,KillBunk,2021-01-18T22:52:47.957Z,QZDA81909389,2019-02-28T00:00:00.000Z,HIP-HOP/RAP
00061533.m4a,Peak,Drake,2021-01-18T22:52:47.957Z,USCM51800220,2018-06-28T00:00:00.000Z,HIP-HOP/RAP
00060149.m4a,Offended,Eminem,2021-01-18T22:52:47.957Z,USUM71713421,2017-12-14T00:00:00.000Z,HIP-HOP/RAP
00045808.m4a,Douha (Mali Mali),"Disclosure, Fatoumata Diawara",2021-01-18T22:52:47.957Z,GBUM71903770,2020-07-28T00:00:00.000Z,ELECTRONIC
00067598.m4a,TRIP,McClenney,2021-01-18T22:52:47.957Z,QM24S1925572,2020-02-05T00:00:00.000Z,R&B/SOUL
00059014.m4a,New Master - Instrumental,Ron Spielman,2021-01-18T22:52:47.957Z,DENG51800257,2018-09-27T00:00:00.000Z,BLUES
